title	date	link
APT29 Exploited a Windows Feature to Compromise European Diplomatic Entity Network	November 09, 2022	https://thehackernews.com/2022/11/apt29-exploited-windows-feature-to.html
Several Cyber Attacks Observed Leveraging IPFS Decentralized Network	November 09, 2022	https://thehackernews.com/2022/11/several-cyber-attacks-observed.html
Chinese Hackers Using New Stealthy Infection Chain to Deploy LODEINFO Malware	November 01, 2022	https://thehackernews.com/2022/11/chinese-hackers-using-new-stealthy.html
Fodcha DDoS Botnet Resurfaces with New Capabilities	October 31, 2022	https://thehackernews.com/2022/10/fodcha-ddos-botnet-resurfaces-with-new.html
U.S. Charges Ukrainian Hacker Over Role in Raccoon Stealer Malware Service	October 26, 2022	https://thehackernews.com/2022/10/us-charges-ukrainian-hacker-over-role.html
Indian Energy Company Tata Power's IT Infrastructure Hit By Cyber Attack	October 15, 2022	https://thehackernews.com/2022/10/indian-energy-company-tata-powers-it.html
Ukraine Says Russia Planning Massive Cyberattacks on its Critical Infrastructures	September 27, 2022	https://thehackernews.com/2022/09/ukraine-says-russia-planning-massive.html
North Korea's Lazarus Hackers Targeting macOS Users Interested in Crypto Jobs	September 27, 2022	https://thehackernews.com/2022/09/north-koreas-lazarus-hackers-targeting.html
Researchers Identify 3 Hacktivist Groups Supporting Russian Interests	September 26, 2022	https://thehackernews.com/2022/09/researchers-identify-3-hacktivist.html
Hackers Exploited Zero-Day RCE Vulnerability in Sophos Firewall — Patch Released	September 24, 2022	https://thehackernews.com/2022/09/hackers-actively-exploiting-new-sophos.html
Over 280,000 WordPress Sites Attacked Using WPGateway Plugin Zero-Day Vulnerability	September 14, 2022	https://thehackernews.com/2022/09/over-280000-wordpress-sites-attacked.html
China Accuses NSA's TAO Unit of Hacking its Military Research University	September 12, 2022	https://thehackernews.com/2022/09/china-accuses-nsas-tao-unit-of-hacking.html
Hacktivist Group GhostSec Compromises 55 Berghof PLCs Across Israel	September 12, 2022	https://thehackernews.com/2022/09/palestinian-hacktivist-group-ghostsec.html
Some Members of Conti Group Targeting Ukraine in Financially Motivated Attacks	September 07, 2022	https://thehackernews.com/2022/09/some-members-of-conti-group-targeting.html
New Stealthy Shikitega Malware Targeting Linux Systems and IoT Devices	September 07, 2022	https://thehackernews.com/2022/09/new-stealthy-shikitega-malware.html
Infra Used in Cisco Hack Also Targeted Workforce Management Solution	September 01, 2022	https://thehackernews.com/2022/09/infra-used-in-cisco-hack-also-targeted.html
Apple Releases iOS Update for Older iPhones to Fix Actively Exploited Vulnerability	September 01, 2022	https://thehackernews.com/2022/09/apple-releases-ios-update-for-older.html
Researchers Uncover Kimusky Infra Targeting South Korean Politicians and Diplomats	August 25, 2022	https://thehackernews.com/2022/08/researchers-uncover-kimusky-infra.html
The Rise of Data Exfiltration and Why It Is a Greater Risk Than Ransomware	August 23, 2022	https://thehackernews.com/2022/08/the-rise-of-data-exfiltration-and-why.html
Meet Borat RAT, a New Unique Triple Threat	August 22, 2022	https://thehackernews.com/2022/08/meet-borat-rat-new-unique-triple-threat.html
Chinese Hackers Backdoored MiMi Chat App to Target Windows, Linux, macOS Users	August 13, 2022	https://thehackernews.com/2022/08/chinese-hackers-backdoored-mimi-chat.html
Researchers Warn of Ongoing Mass Exploitation of Zimbra RCE Vulnerability	August 12, 2022	https://thehackernews.com/2022/08/researchers-warn-of-ongoing-mass.html
Conti Cybercrime Cartel Using 'BazarCall' Phishing Attacks as Initial Attack Vector	August 11, 2022	https://thehackernews.com/2022/08/conti-cybercrime-cartel-using-bazarcall.html
Cisco Confirms It's Been Hacked by Yanluowang Ransomware Gang	August 11, 2022	https://thehackernews.com/2022/08/cisco-confirms-its-been-hacked-by.html
The Business of Hackers-for-Hire Threat Actors	August 10, 2022	https://thehackernews.com/2022/08/the-business-of-hackers-for-hire-threat.html
Hackers Behind Twilio Breach Also Targeted Cloudflare Employees	August 10, 2022	https://thehackernews.com/2022/08/hackers-behind-twilio-breach-also_10.html
