title	date	link	author
Bringing Bots and Fraud to the Boardroom		https://www.securityweek.com//bringing-bots-and-fraud-boardroom	Joshua Goldfarb
The Advantages of Threat Intelligence for Combating Fraud		https://www.securityweek.com//advantages-threat-intelligence-combating-fraud	Landon Winkelvoss
How Bot and Fraud Mitigation Can Work Together to Reduce Risk		https://www.securityweek.com//how-bot-and-fraud-mitigation-can-work-together-reduce-risk	Joshua Goldfarb
What the Titanic Can Teach Us About Fraud?		https://www.securityweek.com//what-titanic-can-teach-us-about-fraud	Joshua Goldfarb
Lessons for Better Fraud Decision-Making		https://www.securityweek.com//lessons-better-fraud-decision-making	Joshua Goldfarb
Six Ways to Expand Your Fraud Program		https://www.securityweek.com//six-ways-expand-your-fraud-program	Joshua Goldfarb
Combating the Surge in Retail Theft and E-Commerce Fraud With Open Source Intelligence		https://www.securityweek.com//combating-surge-retail-theft-and-e-commerce-fraud-open-source-intelligence	Landon Winkelvoss
Top Five Pitfalls When Considering Client Side Security		https://www.securityweek.com//top-five-pitfalls-when-considering-client-side-security	Joshua Goldfarb
The Anti-Fraud Lifecycle		https://www.securityweek.com//anti-fraud-lifecycle	Idan Aharoni
Debunking the Top User Experience, Security, and Fraud Myths		https://www.securityweek.com//debunking-top-user-experience-security-and-fraud-myths	Joshua Goldfarb
Actions Enterprises Can Take to Combat Common Fraud Types		https://www.securityweek.com//actions-enterprises-can-take-combat-common-fraud-types	Joshua Goldfarb
Introducing DAIC: A Suggested System for Preventing BEC Fraud		https://www.securityweek.com//introducing-daic-suggested-system-preventing-bec-fraud	Idan Aharoni
Unemployment Fraud - Preying on Those Most in Need		https://www.securityweek.com//unemployment-fraud-preying-those-most-need	Joshua Goldfarb
Integrating Fraud Data Into Your Workflow		https://www.securityweek.com//integrating-fraud-data-your-workflow	Joshua Goldfarb
Detecting Fraud - Every Step of the Way		https://www.securityweek.com//detecting-fraud-every-step-way	Joshua Goldfarb
Is Chasing Malware Really Helping You Reduce Fraud?		https://www.securityweek.com//chasing-malware-really-helping-you-reduce-fraud	Joshua Goldfarb
Noticing More Robocalls? Governments, Service Providers and Consumers Take Action		https://www.securityweek.com//noticing-more-robocalls-governments-service-providers-and-consumers-take-action	Laurence Pitt
Business Email Compromise Still Reigns		https://www.securityweek.com//business-email-compromise-still-reigns	Alastair Paterson
Why Fighting Card-Not-Present Fraud Remains an Ongoing Challenge		https://www.securityweek.com//why-fighting-card-not-present-fraud-remains-ongoing-challenge	Josh Lefkowitz
Preventing Business Email Compromise Requires a Human Touch		https://www.securityweek.com//preventing-business-email-compromise-requires-human-touch	Josh Lefkowitz
Can Our Identities Ever be Reclaimed?		https://www.securityweek.com//can-our-identities-ever-be-reclaimed	Travis Greene
The Path of Least Resistance Beats the Road Less Travelled		https://www.securityweek.com//path-least-resistance-beats-road-less-travelled	Ting-Fang Yen
Post Breach Identity Theft Monitoring: Too Little Too Late		https://www.securityweek.com//post-breach-identity-theft-monitoring-too-little-too-late	Lance Cottrell
EMV Payment Cards: Salvation or Failure?		https://www.securityweek.com//emv-payment-cards-salvation-or-failure	Torsten George
A Match Made in Heaven: Fraud and Social Media		https://www.securityweek.com//match-made-heaven-fraud-and-social-media	James Foster
Yes, Virginia, There Really is Social Engineering		https://www.securityweek.com//yes-virginia-there-really-social-engineering	Jon-Louis Heimerl
Why Cash is King in Today's Cyber World		https://www.securityweek.com//why-cash-king-todays-cyber-world	Mark Hatton
Identity Theft Goes Hyperlocal		https://www.securityweek.com//identity-theft-goes-hyperlocal	Gant Redmon
The Most Plunder-ful Time of The Year: Keeping Others Safe During The Online Shopping Season		https://www.securityweek.com//most-plunder-ful-time-year-keeping-others-safe-during-online-shopping-season	Gant Redmon
Higher Education - The Perfect Security Storm		https://www.securityweek.com//higher-education-perfect-security-storm	Alan Wlasuk
Localization in the Underground: When Fraudsters from the Same Locale Get Together		https://www.securityweek.com//localization-underground-when-fraudsters-same-locale-get-together	Idan Aharoni
Examining The Security Impact of Social Technologies		https://www.securityweek.com//examining-security-impact-social-technologies	Noa Bar-Yosef
Where do Fraudsters Learn About New Attacks? From the Good Guys.		https://www.securityweek.com//where-do-fraudsters-learn-about-new-attacks-good-guys	Idan Aharoni
The Intersecting Worlds of Fraud Prevention and Counter Terrorism		https://www.securityweek.com//intersecting-worlds-fraud-prevention-and-counter-terrorism	Idan Aharoni
