title	date	link	author
The VC View: The AppSec Evolution		https://www.securityweek.com//vc-view-appsec-evolution	William Lin
How Bot and Fraud Mitigation Can Work Together to Reduce Risk		https://www.securityweek.com//how-bot-and-fraud-mitigation-can-work-together-reduce-risk	Joshua Goldfarb
Tackling the SDLC With Machine Learning		https://www.securityweek.com//tackling-sdlc-machine-learning	Gunter Ollmann
Advancing DevSecOps Into the Future		https://www.securityweek.com//advancing-devsecops-future	Gunter Ollmann
Attacking the Organism: Financial Services		https://www.securityweek.com//attacking-organism-financial-services	Preston Hogue
Attacking the Organism: Retail		https://www.securityweek.com//attacking-organism-retail	Preston Hogue
Build Your Immunity Across All App-Security Insertion Points		https://www.securityweek.com//build-your-immunity-across-all-app-security-insertion-points	Preston Hogue
Adopt Insertion Point Security for a Microservices World		https://www.securityweek.com//adopt-insertion-point-security-microservices-world	Preston Hogue
Collision Course: Keeping Up With Digital Complexity in an App-Enabled World		https://www.securityweek.com//collision-course-keeping-digital-complexity-app-enabled-world	Preston Hogue
ChatOps is Your Bridge to a True DevSecOps Environment		https://www.securityweek.com//chatops-your-bridge-true-devsecops-environment	Preston Hogue
Get Cross-Functional: Learn to Let Go and Embrace DevSecOps		https://www.securityweek.com//get-cross-functional-learn-let-go-and-embrace-devsecops	Preston Hogue
Why Every Organization Needs to Rethink Workload Protection		https://www.securityweek.com//why-every-organization-needs-rethink-workload-protection	Ashley Arbuckle
Shifting to DevSecOps Is as Much About Culture as Technology and Methodology		https://www.securityweek.com//shifting-devsecops-much-about-culture-technology-and-methodology	Preston Hogue
5 Questions to Help Chart Your Course to Zero Trust Security		https://www.securityweek.com//5-questions-help-chart-your-course-zero-trust-security	Ashley Arbuckle
When Good Apps Go Bad: Protecting Your Data Through App Permissions		https://www.securityweek.com//when-good-apps-go-bad-protecting-your-data-through-app-permissions	Laurence Pitt
Privacy Protection Means Encryption at the Application Layer		https://www.securityweek.com//privacy-protection-means-encryption-application-layer	Travis Greene
Four Ways to Mitigate Cyber Risks for ERP Applications		https://www.securityweek.com//four-ways-mitigate-cyber-risks-erp-applications	Alastair Paterson
Why do the Vast Majority of Applications Still Not Undergo Security Testing?		https://www.securityweek.com//why-do-vast-majority-applications-still-not-undergo-security-testing	Jim Ivers
What Sort of Testing Do My Applications Need?		https://www.securityweek.com//what-sort-testing-do-my-applications-need	Dan Cornell
The Truth About Micro-Segmentation (Part 2)		https://www.securityweek.com//truth-about-micro-segmentation-part-2	Alan Cohen
From Monolithic to Modular: Agile App Security in the DevOps Era		https://www.securityweek.com//monolithic-modular-agile-app-security-devops-era	Preston Hogue
Security Leaders: When Dealing with DevOps, Get Your Mind Right		https://www.securityweek.com//security-leaders-when-dealing-devops-get-your-mind-right	Dan Cornell
Three Ways to Combat Shadow IT 2.0		https://www.securityweek.com//three-ways-combat-shadow-it-20	Travis Greene
The Application Security Testing Conundrum		https://www.securityweek.com//application-security-testing-conundrum	Jim Ivers
The Danger of Miscommunication Between Security and DevOps		https://www.securityweek.com//danger-miscommunication-between-security-and-devops	Dan Cornell
What Security Teams Need to Know about DevOps		https://www.securityweek.com//what-security-teams-need-know-about-devops	Travis Greene
Breaking the OODA Loop!		https://www.securityweek.com//breaking-ooda-loop	Lance Cottrell
Are Your Applications Really Protected? It’s All About the Pivot		https://www.securityweek.com//are-your-applications-really-protected-it%E2%80%99s-all-about-pivot	Jim Ivers
SAST and DAST: Part of a Balanced Software Security Initiative		https://www.securityweek.com//sast-and-dast-part-balanced-software-security-initiative	Jim Ivers
Should Application Security Become its Own Discipline?		https://www.securityweek.com//should-application-security-become-its-own-discipline	David Holmes
Better Health Starts With Better Habits: Improving Your Security Diets		https://www.securityweek.com//better-health-starts-better-habits-improving-your-security-diets	Jim Ivers
Building Security In versus Building Security On		https://www.securityweek.com//building-security-versus-building-security	Jim Ivers
How to Think Like a Hacker and Act Like a Security Pro		https://www.securityweek.com//how-think-hacker-and-act-security-pro	Jim Ivers
SaaS Application Risks and The Human Element		https://www.securityweek.com//saas-application-risks-and-human-element	Danelle Au
Transforming Security Into an Enabler: The Validated Best of Breed Certification Paradigm		https://www.securityweek.com//transforming-security-enabler-validated-best-breed-certification-paradigm	Adam Firestone
Security Insights: Defending Against Automated Threats		https://www.securityweek.com//security-insights-defending-against-automated-threats	Wade Williamson
What You Think You Know About SaaS Security Is Wrong		https://www.securityweek.com//what-you-think-you-know-about-saas-security-wrong	Danelle Au
Securing The New Information Economy		https://www.securityweek.com//securing-new-information-economy	Danelle Au
Debunking Three SaaS Security Myths		https://www.securityweek.com//debunking-three-saas-security-myths	Danelle Au
Six Essential (Free) Tools For Security Teams		https://www.securityweek.com//six-essential-free-tools-security-teams	Wade Williamson
App Quest: The Need for Web Application Security		https://www.securityweek.com//app-quest-need-web-application-security	Chris Hinkley
Defense in Depth has Always Been a Valid Concept		https://www.securityweek.com//defense-depth-has-always-been-valid-concept	Jon-Louis Heimerl
Unto the Breach - from Medieval Castles to Today's Online Retail Market		https://www.securityweek.com//unto-breach-medieval-castles-todays-online-retail-market	Michael Callahan
Likely Advances in the Threat Landscape and How We Respond to Them in 2014		https://www.securityweek.com//likely-advances-threat-landscape-and-how-we-respond-them-2014	Michael Callahan
Exercising Alternatives to Detect and Prevent Brute Force Attacks		https://www.securityweek.com//exercising-alternatives-detect-and-prevent-brute-force-attacks	Michael Callahan
Examining The Security Implications of Healthcare.gov		https://www.securityweek.com//examining-security-implications-healthcaregov	Michael Callahan
Things to Consider Before Migrating Business Applications to the Cloud		https://www.securityweek.com//things-consider-migrating-business-applications-cloud	Nimmy Reichenberg
