title	date	link	author
Multi-Cloud Networks Require Cloud-Native Protection		https://www.securityweek.com//multi-cloud-networks-require-cloud-native-protection	John Maddison
Hybrid Networks Require an Integrated On-prem and Cloud Security Strategy		https://www.securityweek.com//hybrid-networks-require-integrated-prem-and-cloud-security-strategy	John Maddison
What to Expect in 2022: Microservices Will Bring Macro Threats		https://www.securityweek.com//what-expect-2022-microservices-will-bring-macro-threats	Laurence Pitt
Meeting Backup Requirements for Cyber Insurance Coverage		https://www.securityweek.com//meeting-backup-requirements-cyber-insurance-coverage	Gordon Lawson
Three Ways to Keep Cloud Data Safe From Attackers		https://www.securityweek.com//three-ways-keep-cloud-data-safe-attackers	Gordon Lawson
Cloud Considerations Learned from the Pandemic		https://www.securityweek.com//cloud-considerations-learned-pandemic	Laurence Pitt
The VC View: Identity = Zero Trust for Everything		https://www.securityweek.com//vc-view-identity-zero-trust-everything	William Lin
The Rise of Continuous Attack Surface Management		https://www.securityweek.com//rise-continuous-attack-surface-management	Gunter Ollmann
The Benefits of Cloud Services Far Outweigh On-Premises in 2021		https://www.securityweek.com//benefits-cloud-services-far-outweigh-premises-2021	Tim Bandos
The VC View: Cloud Security and Compliance		https://www.securityweek.com//vc-view-cloud-security-and-compliance	William Lin
The Cusp of a Virtual Analyst Revolution		https://www.securityweek.com//cusp-virtual-analyst-revolution	Gunter Ollmann
Reinventing Managed Security Services' Detection and Response		https://www.securityweek.com//reinventing-managed-security-services-detection-and-response	Gunter Ollmann
Attesting to the Security of Data-in-Use		https://www.securityweek.com//attesting-security-data-use	Gunter Ollmann
Securing Data-in-Use With Confidential Computing		https://www.securityweek.com//securing-data-use-confidential-computing	Gunter Ollmann
It's Not Just an Unusual Login: Why Pay Attention to Threats Facing SaaS and Cloud?		https://www.securityweek.com//its-not-just-unusual-login-why-pay-attention-threats-facing-saas-and-cloud	Justin Fier
"Takeaways From the ""CryptoForHealth"" Twitter Hack"		https://www.securityweek.com//takeaways-cryptoforhealth-twitter-hack	Torsten George
Navigating the Rapid Digital Shift: Ticket on the Bus, Not the Whole Bus		https://www.securityweek.com//navigating-rapid-digital-shift-ticket-bus-not-whole-bus	Gunter Ollmann
The Changing Face of Cloud Threat Intelligence		https://www.securityweek.com//changing-face-cloud-threat-intelligence	Gunter Ollmann
