title	date	link	author
Healthcare and the Other CIA		https://www.securityweek.com//healthcare-and-other-cia	Gordon Lawson
Planning for the Future: What's Ahead in 2022		https://www.securityweek.com//planning-future-whats-ahead-2022	Landon Winkelvoss
Preventing a Cyber Pandemic in Healthcare		https://www.securityweek.com//preventing-cyber-pandemic-healthcare	Laurence Pitt
Meeting Backup Requirements for Cyber Insurance Coverage		https://www.securityweek.com//meeting-backup-requirements-cyber-insurance-coverage	Gordon Lawson
Supporting Cybersecurity Awareness Month		https://www.securityweek.com//supporting-cybersecurity-awareness-month	Laurence Pitt
The VC View: Data Security - Deciphering a Misunderstood Category		https://www.securityweek.com//vc-view-data-security-deciphering-misunderstood-category	William Lin
Attesting to the Security of Data-in-Use		https://www.securityweek.com//attesting-security-data-use	Gunter Ollmann
Securing Data-in-Use With Confidential Computing		https://www.securityweek.com//securing-data-use-confidential-computing	Gunter Ollmann
The Digital Ship is Full of Leaks. But There Are Ways to Keep it Afloat.		https://www.securityweek.com//digital-ship-full-leaks-there-are-ways-keep-it-afloat	Alastair Paterson
SD-WAN and Managed Service Providers: The Dream Team?		https://www.securityweek.com//sd-wan-and-managed-service-providers-dream-team	Laurence Pitt
Data Protection and Privacy: Think 360, Demand 360		https://www.securityweek.com//data-protection-and-privacy-think-360-demand-360	Jim Gordon
In an Interconnected World, Data Security is a Shared Responsibility		https://www.securityweek.com//interconnected-world-data-security-shared-responsibility	Alastair Paterson
Data in Use Is the Point of Least Resistance		https://www.securityweek.com//data-use-point-least-resistance	Ellison Anne Williams
From Traffic Cop to Fleet Manager, DLP Evolves Beyond the Perimeter		https://www.securityweek.com//traffic-cop-fleet-manager-dlp-evolves-beyond-perimeter	Gunter Ollmann
Uncovering the Data Security Triad		https://www.securityweek.com//uncovering-data-security-triad	Ellison Anne Williams
GDPR - Improving Data Privacy and Cyber Resilience?		https://www.securityweek.com//gdpr-improving-data-privacy-and-cyber-resilience	Torsten George
What You Need to Know About PCI DSS Compliance this Holiday Season		https://www.securityweek.com//what-you-need-know-about-pci-dss-compliance-holiday-season	Laurence Pitt
Privacy Protection Means Encryption at the Application Layer		https://www.securityweek.com//privacy-protection-means-encryption-application-layer	Travis Greene
The Risk of Triangulation: You May Just be a Piece of the Puzzle		https://www.securityweek.com//risk-triangulation-you-may-just-be-piece-puzzle	Preston Hogue
Are You Securing Your Contract Workforce?		https://www.securityweek.com//are-you-securing-your-contract-workforce	Bradon Rogers
Picture This. Now Protect It.		https://www.securityweek.com//picture-now-protect-it	Alastair Paterson
Have We Reached Data Breach Fatigue?		https://www.securityweek.com//have-we-reached-data-breach-fatigue	Jim Ivers
Why Does Data Exfiltration Remain an Almost Unsolvable Challenge?		https://www.securityweek.com//why-does-data-exfiltration-remain-almost-unsolvable-challenge	Justin Fier
Security is Not a Technology Profession		https://www.securityweek.com//security-not-technology-profession	Joshua Goldfarb
Dealing With Data Loss Your Firewall Can't Stop		https://www.securityweek.com//dealing-data-loss-your-firewall-cant-stop	Lance Cottrell
Data Loss Prevention: From Hero to Goat and Back Again		https://www.securityweek.com//data-loss-prevention-hero-goat-and-back-again	Steven Grossman
The Keys to Unlocking Security in a Virtual World		https://www.securityweek.com//keys-unlocking-security-virtual-world	Jennifer Blatnik
GDPR - Not Just a European Concern		https://www.securityweek.com//gdpr-not-just-european-concern	Alastair Paterson
With Security at the Foundation, Blockchain Can Revolutionize the World		https://www.securityweek.com//security-foundation-blockchain-can-revolutionize-world	Jennifer Blatnik
User and Entity Behavior Analytics - A Floor Wax and a Dessert Topping		https://www.securityweek.com//user-and-entity-behavior-analytics-floor-wax-and-dessert-topping	Steven Grossman
Don't be Overtaken by Account Takeovers		https://www.securityweek.com//dont-be-overtaken-account-takeovers	Alastair Paterson
If the CIA Isn't Secure, Who Is?		https://www.securityweek.com//if-cia-isnt-secure-who	Erin O’Malley
A Positive Prognosis for Digital Value in the Healthcare Industry		https://www.securityweek.com//positive-prognosis-digital-value-healthcare-industry	Ashley Arbuckle
Handling Classified Information: Lessons Learned		https://www.securityweek.com//handling-classified-information-lessons-learned	Travis Greene
Avoiding the Insider Threat: How Not to Star in Snowden Part II		https://www.securityweek.com//avoiding-insider-threat-how-not-star-snowden-part-ii	Eddie Garcia
How Cloud App Visibility Helps Wrangle Shadow IT		https://www.securityweek.com//how-cloud-app-visibility-helps-wrangle-shadow-it	Aditya Sood
Required Insider Threat Program for Federal Contractors: Will It Help?		https://www.securityweek.com//required-insider-threat-program-federal-contractors-will-it-help	Steven Grossman
Hadoop Data Encryption at Rest and in Transit		https://www.securityweek.com//hadoop-data-encryption-rest-and-transit	Eddie Garcia
"Hadoop Data Encryption: ""P.S. Find Robert Langdon"""		https://www.securityweek.com//hadoop-data-encryption-ps-find-robert-langdon	Eddie Garcia
The Latest Hacker Mayhem Tool: Google Dorking		https://www.securityweek.com//latest-hacker-mayhem-tool-google-dorking	Torsten George
When it Comes to Business Defense, Simplicity is the Watchword		https://www.securityweek.com//when-it-comes-business-defense-simplicity-watchword	Bill Sweeney
The Practical Side of Data Science to Security		https://www.securityweek.com//practical-side-data-science-security	Wade Williamson
Behind the Buzz - What Intel Can You Gather from Dark Web Markets?		https://www.securityweek.com//behind-buzz-what-intel-can-you-gather-dark-web-markets	Tim Layton
Data Loss Prevention: Make It Work		https://www.securityweek.com//data-loss-prevention-make-it-work	Johnnie Konstantas
Was 2015 the Year of Breach Fatigue?		https://www.securityweek.com//was-2015-year-breach-fatigue	David Holmes
When the IoT Comes to the Office		https://www.securityweek.com//when-iot-comes-office	Rafal Los
In Memoriam: Goodbye to RC4, an Old Crypto Favorite		https://www.securityweek.com//memoriam-goodbye-rc4-old-crypto-favorite	David Holmes
To Combat a New Wave of Threats, Get Your Head in the Cloud		https://www.securityweek.com//combat-new-wave-threats-get-your-head-cloud	Marc Solomon
Security: An Innovation Enabler for Retailers		https://www.securityweek.com//security-innovation-enabler-retailers	Marc Solomon
"The ""Executive"" IT Security Problem - Lessons Learned from Hillary Clinton"		https://www.securityweek.com//executive-it-security-problem-lessons-learned-hillary-clinton	Travis Greene
If Passwords Received as Much Attention as PSI We'd All Be More Secure		https://www.securityweek.com//if-passwords-received-much-attention-psi-wed-all-be-more-secure	Mark Hatton
Data Breaches by the Numbers		https://www.securityweek.com//data-breaches-numbers	Wade Williamson
The Snowball Effect of Data Breaches		https://www.securityweek.com//snowball-effect-data-breaches	Wade Williamson
Why Healthcare Security Matters		https://www.securityweek.com//healthcare-security-matters	Travis Greene
7 Considerations to Reduce the Cyber Attack Surface		https://www.securityweek.com//7-considerations-reduce-cyber-attack-surface	Alan Cohen
Getting Proactive Against Insider Threats		https://www.securityweek.com//getting-proactive-against-insider-threats	Wade Williamson
Sometimes, Perception is Just as Important as Reality		https://www.securityweek.com//sometimes-perception-just-important-reality	Mark Hatton
Midsized Companies, Supersized Network Security Needs		https://www.securityweek.com//midsized-companies-supersized-network-security-needs	Marc Solomon
Evolving Security in the Face of Cyber Attacks		https://www.securityweek.com//evolving-security-face-cyber-attacks	Wade Williamson
Bigger Data, Smaller Problems: Managing Security Permissions of Data Subsets in Hadoop		https://www.securityweek.com//bigger-data-smaller-problems-managing-security-permissions-data-subsets-hadoop	Eddie Garcia
Data Integrity: The Core of Security		https://www.securityweek.com//data-integrity-core-security	Torsten George
Strategy: Planning and Recovering From a Data Breach		https://www.securityweek.com//strategy-planning-and-recovering-data-breach	Danelle Au
Attack of the Access Clones - How Organizations Can Strike Back		https://www.securityweek.com//attack-access-clones-how-organizations-can-strike-back	Travis Greene
SaaS Application Risks and The Human Element		https://www.securityweek.com//saas-application-risks-and-human-element	Danelle Au
Zen and the Art of Cloud Database Security (Part 2)		https://www.securityweek.com//zen-and-art-cloud-database-security-part-2	David Maman
Zen and the Art of Cloud Database Security (Part 1)		https://www.securityweek.com//zen-and-art-cloud-database-security-part-1	David Maman
Big Data, Smaller Problems: Configuring Kerberos Authentication for Hadoop		https://www.securityweek.com//big-data-smaller-problems-configuring-kerberos-authentication-hadoop	Eddie Garcia
Securing Mobile in the Enterprise - Identify Risky Apps		https://www.securityweek.com//securing-mobile-enterprise-identify-risky-apps	Adam Ely
When Encryption Isn't Enough		https://www.securityweek.com//when-encryption-isnt-enough	David Holmes
Database Activity Monitoring: What it is and What it Isn't		https://www.securityweek.com//database-activity-monitoring-what-it-and-what-it-isnt	David Maman
What Employees Want vs. What IT Wants - The Venn Diagram that Doesn't Overlap		https://www.securityweek.com//what-employees-want-vs-what-it-wants-venn-diagram-doesnt-overlap	Danelle Au
Keep Moving, Stay Alive: Your Cyber Strategy is Either Dynamic or It's (Un)Dead		https://www.securityweek.com//keep-moving-stay-alive-your-cyber-strategy-either-dynamic-or-its-undead	Jason Polancich
America's Do It Yourself Warehouse Shines a Light on the Problem of Do It Yourself Security		https://www.securityweek.com//americas-do-it-yourself-warehouse-shines-light-problem-do-it-yourself-security	Mark Hatton
Bigger Data, Smaller Problems: Taking Hadoop Security to the Next Level		https://www.securityweek.com//bigger-data-smaller-problems-taking-hadoop-security-next-level	Eddie Garcia
Enterprise Lessons From The iCloud Hack		https://www.securityweek.com//enterprise-lessons-icloud-hack	Danelle Au
Today's Biggest Security Gap? Identity.		https://www.securityweek.com//todays-biggest-security-gap-identity	Travis Greene
Preparing For Your First Board Meeting? Security Now #1 Topic		https://www.securityweek.com//preparing-your-first-board-meeting-security-now-1-topic	Scott Gainey
Securing The New Information Economy		https://www.securityweek.com//securing-new-information-economy	Danelle Au
The Soft Underbelly of Enterprise Cybersecurity: Small Business Readiness		https://www.securityweek.com//soft-underbelly-enterprise-cybersecurity-small-business-readiness	Jason Polancich
The Intersection of Cloud And Internet of Things And What It Means For Security		https://www.securityweek.com//intersection-cloud-and-internet-things-and-what-it-means-security	Danelle Au
CISO Perspective: Becoming a Business Enabler		https://www.securityweek.com//ciso-perspective-becoming-business-enabler	Adam Ely
Are We Ready to Take These Breaches More Seriously Now?		https://www.securityweek.com//are-we-ready-take-these-breaches-more-seriously-now	Mark Hatton
Security Operations: Moving to a Narrative-Driven Model		https://www.securityweek.com//security-operations-moving-narrative-driven-model	Joshua Goldfarb
The Problem is Yours, Even When It's Your Vendor's Problem		https://www.securityweek.com//problem-yours-even-when-its-your-vendors-problem	Jon-Louis Heimerl
App Quest: The Need for Web Application Security		https://www.securityweek.com//app-quest-need-web-application-security	Chris Hinkley
Healthcare Security: Where's the Hype for HIPAA?		https://www.securityweek.com//healthcare-security-wheres-hype-hipaa	Mark Hatton
What Happens to Stolen Data After a Breach?		https://www.securityweek.com//what-happens-stolen-data-after-breach	Wade Williamson
Defense in Depth has Always Been a Valid Concept		https://www.securityweek.com//defense-depth-has-always-been-valid-concept	Jon-Louis Heimerl
Unto the Breach - from Medieval Castles to Today's Online Retail Market		https://www.securityweek.com//unto-breach-medieval-castles-todays-online-retail-market	Michael Callahan
The Role of Big Data in Security		https://www.securityweek.com//role-big-data-security	Torsten George
When It Comes to the Insider Threat, Hope Is Not a Strategy		https://www.securityweek.com//when-it-comes-insider-threat-hope-not-strategy	Mike Tierney
Fear and Loathing in the Cloud		https://www.securityweek.com//fear-and-loathing-cloud	Gil Zimmermann
How Difficult Is Your Maze? How To Be A 'Hard Target'		https://www.securityweek.com//how-difficult-your-maze-how-be-hard-target	Dr. Mike Lloyd
Likely Advances in the Threat Landscape and How We Respond to Them in 2014		https://www.securityweek.com//likely-advances-threat-landscape-and-how-we-respond-them-2014	Michael Callahan
PCI-DSS 3.0: Three Things to Know to Ensure Compliance, Security and Business Agility		https://www.securityweek.com//pci-dss-30-three-things-know-ensure-compliance-security-and-business-agility	Nimmy Reichenberg
PCI DSS 3.0: The Impact on Your Security Operations		https://www.securityweek.com//pci-dss-30-impact-your-security-operations	Chris Hinkley
Strategic Thinking: IT Planning and Risk in 2014		https://www.securityweek.com//strategic-thinking-it-planning-and-risk-2014	Gil Zimmermann
Strategic Incident Response: The Art of Choreographed Reaction		https://www.securityweek.com//strategic-incident-response-art-choreographed-reaction	Torsten George
