title	date	link	author
The Zero Day Dilemma		https://www.securityweek.com//zero-day-dilemma	Gordon Lawson
"The VC View: The DevSecOps Evolution and Getting ""Shift Left"" Right"		https://www.securityweek.com//vc-view-devsecops-evolution-and-getting-shift-left-right	William Lin
Providing Developers Value-Focused Feedback in Security Software Development		https://www.securityweek.com//providing-developers-value-focused-feedback-security-software-development	Keith Ibarguen
Is Your Suppliers' Security Your Business?		https://www.securityweek.com//your-suppliers-security-your-business	Yaniv Vardi
Tackling the SDLC With Machine Learning		https://www.securityweek.com//tackling-sdlc-machine-learning	Gunter Ollmann
Using Gap Analysis to Fix a Leaky Enterprise		https://www.securityweek.com//using-gap-analysis-fix-leaky-enterprise	Joshua Goldfarb
Constant Vigilance Requires Looking Back as Well as Forward		https://www.securityweek.com//constant-vigilance-requires-looking-back-well-forward	John Maddison
How Commercial Bug Hunting Changed the Boutique Security Consultancy Landscape		https://www.securityweek.com//how-commercial-bug-hunting-changed-boutique-security-consultancy-landscape	Gunter Ollmann
Blunt the Effect of the Two-Edged Sword of Vulnerability Disclosures		https://www.securityweek.com//blunt-effect-two-edged-sword-vulnerability-disclosures	Marie Hattar
Stop Using CVSS to Score Risk		https://www.securityweek.com//stop-using-cvss-score-risk	Gunter Ollmann
Harnessing Stunt Hacking for Enterprise Defense		https://www.securityweek.com//harnessing-stunt-hacking-enterprise-defense	Gunter Ollmann
Risk-Based Vulnerability Management is a Must for Security & Compliance		https://www.securityweek.com//risk-based-vulnerability-management-must-security-compliance	Josh Lefkowitz
Industry Sharing Feeds, A Step in the Right Direction but Not Enough		https://www.securityweek.com//industry-sharing-feeds-step-right-direction-not-enough	Marc Solomon
For Effective Patch Management, Don’t Overlook Risk		https://www.securityweek.com//effective-patch-management-don%E2%80%99t-overlook-risk	Josh Lefkowitz
The Next Big Cyber-Attack Vector: APIs		https://www.securityweek.com//next-big-cyber-attack-vector-apis	Torsten George
Best Practices in Securing DevOps		https://www.securityweek.com//best-practices-securing-devops	Torsten George
Cyber War and the Compromise of Reliable Full Disclosure		https://www.securityweek.com//cyber-war-and-compromise-reliable-full-disclosure	Oliver Rochford
Embracing the Cultural Shift that Comes with Secure DevOps		https://www.securityweek.com//embracing-cultural-shift-comes-secure-devops	Ashley Arbuckle
Security and DevOps - What We Learned at DOES17		https://www.securityweek.com//security-and-devops-what-we-learned-does17	Travis Greene
Common Approaches to Automated Application Security Testing - SAST and DAST		https://www.securityweek.com//common-approaches-automated-application-security-testing-sast-and-dast	Dan Cornell
Stack Ranking SSL Vulnerabilities: The ROBOT Attack		https://www.securityweek.com//stack-ranking-ssl-vulnerabilities-robot-attack	David Holmes
Improved IoT Security Starts with Liability for Companies, Not Just Legislation		https://www.securityweek.com//improved-iot-security-starts-liability-companies-not-just-legislation	Lance Cottrell
Open Source Vulnerabilities: Are You Prepared to Run the Race?		https://www.securityweek.com//open-source-vulnerabilities-are-you-prepared-run-race	Jim Ivers
Threat Modeling the Internet of Things: Modeling Reaper		https://www.securityweek.com//threat-modeling-internet-things-modeling-reaper	David Holmes
Emerging Trends in Vulnerability Management		https://www.securityweek.com//emerging-trends-vulnerability-management	Torsten George
Curing The Security Sickness in Medical Devices		https://www.securityweek.com//curing-security-sickness-medical-devices	Jalal Bouhdada
What Happens When Security Companies Fail at Security?		https://www.securityweek.com//what-happens-when-security-companies-fail-security	Jim Ivers
Stack Ranking SSL Vulnerabilities: DUHK and ROCA		https://www.securityweek.com//stack-ranking-ssl-vulnerabilities-duhk-and-roca	David Holmes
To Share or Not to Share: The Security Researcher's Dilemma		https://www.securityweek.com//share-or-not-share-security-researchers-dilemma	Torsten George
"Why ""Have a Safe Trip"" is Taking on Greater Meaning"		https://www.securityweek.com//why-have-safe-trip-taking-greater-meaning	Alastair Paterson
Independence Now and Forever: How to Grow Blockchain Securely		https://www.securityweek.com//independence-now-and-forever-how-grow-blockchain-securely	Jennifer Blatnik
IoT Security: Where There is Smoke, There is Fire		https://www.securityweek.com//iot-security-where-there-smoke-there-fire	Jim Ivers
The Coolest Talk at Defcon 25 That No One is Writing About		https://www.securityweek.com//coolest-talk-defcon-25-no-one-writing-about	David Holmes
Threat Modeling the Internet of Things: Part 3 - A Real World Example		https://www.securityweek.com//threat-modeling-internet-things-part-3-real-world-example	David Holmes
How to Reduce Risk While Saving on the Cost of Resolving Security Defects		https://www.securityweek.com//how-reduce-risk-while-saving-cost-resolving-security-defects	Jim Ivers
How Do I Identify My Application Attack Surface?		https://www.securityweek.com//how-do-i-identify-my-application-attack-surface	Dan Cornell
Testing in an Agile and DevOps World		https://www.securityweek.com//testing-agile-and-devops-world	Marie Hattar
Protecting Against Malware Requires a DevOps Mindset		https://www.securityweek.com//protecting-against-malware-requires-devops-mindset	Travis Greene
A Fact Check on Medical Device Security		https://www.securityweek.com//fact-check-medical-device-security	Jim Ivers
The Impact of WannaCry on the Ransomware Conversation		https://www.securityweek.com//impact-wannacry-ransomware-conversation	Jennifer Blatnik
Cyber Risk Management: What's Holding Us Back?		https://www.securityweek.com//cyber-risk-management-whats-holding-us-back	Torsten George
Sobering Thoughts When a Connected Medical Device Is Connected to You		https://www.securityweek.com//sobering-thoughts-when-connected-medical-device-connected-you	Jim Ivers
Security vs. Quality: What’s the Difference?		https://www.securityweek.com//security-vs-quality-what%E2%80%99s-difference	Jim Ivers
IoT Devices are Dramatically Expanding Your Digital Footprint		https://www.securityweek.com//iot-devices-are-dramatically-expanding-your-digital-footprint	Adam Meyer
Security Teams Need to Understand How Developers Tools Work		https://www.securityweek.com//security-teams-need-understand-how-developers-tools-work	Dan Cornell
The Connected Toy Conundrum Is Beginning to Boil		https://www.securityweek.com//connected-toy-conundrum-beginning-boil	Jim Ivers
